[2018-08-05 19:09:27] {"fd":80,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"3\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-05 19:09:31] {"fd":81,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"3\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-05 19:09:37] {"fd":82,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"3\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-05 19:10:08] {"fd":83,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-05 19:10:17] {"fd":84,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-05 19:10:36] {"fd":88,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":1,\"uid\":\"console_1_founder_1\",\"nickname\":\"\u7ba1\u7406\u5458wanlong\",\"at\":{}}"}
[2018-08-05 21:46:37] {"fd":90,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-05 21:46:49] {"fd":91,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-06 11:53:25] {"fd":97,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":12,\"uniacid\":4,\"uid\":\"console_32_manager_4\",\"nickname\":\"\u7ba1\u7406\u5458admin888\",\"at\":{}}"}
[2018-08-06 17:22:22] {"fd":99,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":4,\"uid\":\"3400\",\"nickname\":\"\ue327Ba\u3093\u3112iM\ue327\"}"}
[2018-08-09 17:00:40] {"fd":107,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-09 17:00:45] {"fd":108,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-09 17:01:00] {"fd":110,"finish":true,"opcode":1,"data":"{\"scene\":\"reload\"}"}
[2018-08-16 16:50:56] {"fd":123,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2188\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-16 16:51:12] {"fd":124,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2188\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-16 16:52:00] {"fd":125,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-16 16:52:17] {"fd":126,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2188\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-16 16:53:43] {"fd":128,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 17:13:37] {"fd":138,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"2189\",\"nickname\":\"\u9e64\u7acb\u4e2d\u539f\"}"}
[2018-08-17 17:13:49] {"fd":139,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 17:15:07] {"fd":140,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 17:19:55] {"fd":141,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:25:47] {"fd":143,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:28:16] {"fd":145,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:29:22] {"fd":146,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:34:51] {"fd":148,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:43:28] {"fd":150,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:43:50] {"fd":151,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-17 18:44:05] {"fd":153,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-18 09:01:08] {"fd":155,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
[2018-08-18 09:09:11] {"fd":158,"finish":true,"opcode":1,"data":"{\"toUser\":\"system\",\"type\":\"login\",\"role\":\"manage\",\"scene\":\"live\",\"roomid\":1,\"uniacid\":2,\"uid\":\"console_1_founder_2\",\"nickname\":\"\u7ba1\u7406\u5458hbrmw\",\"at\":{}}"}
